地址,房子朝向,租贷类型,户型,楼层,住房面积,价格（元/月）,来源,特点,是否精选
房山-良乡-良乡西路8号,南北,整租,2室1厅1卫,中楼层（6层）,60.50㎡,3500,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
朝阳-常营-北京像素北区,西南,整租,3房间2卫,高楼层（14层）,59.68㎡,5500,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,双卫生间,随时看房,首次出租",0
海淀-颐和园-六一幼儿园家属楼,东东北,整租,1室1厅1卫,中楼层（5层）,47.48㎡,5600,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
通州-临河里-华业东方玫瑰A区,南北,整租,1室1厅1卫,中楼层（28层）,57.08㎡,3690,链家,"官方核验,业主自荐,精装,集中供暖,随时看房",0
丰台-蒲黄榆-刘家窑南里,东,整租,2室1厅1卫,高楼层（6层）,64.82㎡,5000,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房",0
门头沟-大峪-中门寺南坡小区,南北,整租,3室1厅1卫,中楼层（18层）,84.00㎡,3500,链家,"官方核验,集中供暖,随时看房",0
大兴-枣园-滨河西里南区,南北,整租,2室1厅1卫,中楼层（6层）,61.65㎡,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
海淀-五棵松-永定路西里,南北,整租,2室1厅1卫,中楼层（7层）,56.00㎡,6500,贝壳优选,"精装,集中供暖,押一付一,随时看房",0
朝阳-朝阳门外-吉庆里西区,南,整租,3室1厅1卫,中楼层（10层）,116.00㎡,13500,链家,"官方核验,业主自荐,集中供暖,随时看房",0
海淀-海淀北部新区-海淀上郡,南,整租,2室1厅1卫,低楼层（21层）,89.68㎡,4500,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
朝阳-潘家园-弘善家园,东,整租,2室1厅1卫,低楼层（28层）,78.00㎡,6000,贝壳优选,"近地铁,精装,押一付一,随时看房",0
丰台-七里庄-小井润园一区,南,整租,2室1厅1卫,高楼层（20层）,93.48㎡,7600,链家,"官方核验,业主自荐,新上,精装",0
朝阳-东大桥-工体东路,东北,整租,2室1厅1卫,中楼层（14层）,58.82㎡,6500,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0
东城-安定门-上龙西里,南,整租,1室1厅1卫,中楼层（5层）,32.76㎡,5850,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房",0
海淀-定慧寺-玲珑苑,西北,整租,1室1厅1卫,中楼层（20层）,58.00㎡,8000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
昌平-回龙观-龙华园,南北,整租,2室1厅1卫,中楼层（6层）,70.00㎡,5800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
朝阳-朝阳门外-东大桥路,东北,整租,2室1厅1卫,中楼层（5层）,50.50㎡,7004,贝壳优选,"月租,精装,集中供暖,押一付一,随时看房",0
丰台-右安门外-玉林里小区,南,整租,2室1厅1卫,中楼层（18层）,57.00㎡,6500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
朝阳-亚运村小营-干杨树,东南,整租,2室1厅1卫,高楼层（18层）,69.87㎡,7300,链家,"官方核验,新上,精装,集中供暖,随时看房",0
丰台-和义-南苑北里一区,东西,整租,1室1厅1卫,高楼层（6层）,53.26㎡,3500,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房,首次出租",0
海淀-西二旗-领秀新硅谷1号院,南北,整租,2室2厅1卫,高楼层（15层）,95.00㎡,10000,链家,"官方核验,业主自荐,新上,近地铁,精装,随时看房",0
门头沟-冯村-四季怡园南区,西南,整租,3室1厅1卫,中楼层（20层）,89.00㎡,4000,贝壳优选,"新上,月租,集中供暖,押一付一,随时看房",0
