地址,房子朝向,租贷类型,户型,楼层,住房面积,价格（元/月）,来源,特点,是否精选,Cluster
房山-良乡-良乡西路8号,南北,整租,2室1厅1卫,6,60.5,3500,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
朝阳-常营-北京像素北区,西南,整租,3房间2卫,14,59.68,5500,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,双卫生间,随时看房,首次出租",0,0
海淀-颐和园-六一幼儿园家属楼,东东北,整租,1室1厅1卫,5,47.48,5600,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
通州-临河里-华业东方玫瑰A区,南北,整租,1室1厅1卫,28,57.08,3690,链家,"官方核验,业主自荐,精装,集中供暖,随时看房",0,1
丰台-蒲黄榆-刘家窑南里,东,整租,2室1厅1卫,6,64.82,5000,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房",0,0
门头沟-大峪-中门寺南坡小区,南北,整租,3室1厅1卫,18,84.0,3500,链家,"官方核验,集中供暖,随时看房",0,1
大兴-枣园-滨河西里南区,南北,整租,2室1厅1卫,6,61.65,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
海淀-五棵松-永定路西里,南北,整租,2室1厅1卫,7,56.0,6500,贝壳优选,"精装,集中供暖,押一付一,随时看房",0,0
朝阳-朝阳门外-吉庆里西区,南,整租,3室1厅1卫,10,116.0,13500,链家,"官方核验,业主自荐,集中供暖,随时看房",0,0
海淀-海淀北部新区-海淀上郡,南,整租,2室1厅1卫,21,89.68,4500,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
朝阳-潘家园-弘善家园,东,整租,2室1厅1卫,28,78.0,6000,贝壳优选,"近地铁,精装,押一付一,随时看房",0,1
丰台-七里庄-小井润园一区,南,整租,2室1厅1卫,20,93.48,7600,链家,"官方核验,业主自荐,新上,精装",0,1
朝阳-东大桥-工体东路,东北,整租,2室1厅1卫,14,58.82,6500,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0,0
东城-安定门-上龙西里,南,整租,1室1厅1卫,5,32.76,5850,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房",0,0
海淀-定慧寺-玲珑苑,西北,整租,1室1厅1卫,20,58.0,8000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
昌平-回龙观-龙华园,南北,整租,2室1厅1卫,6,70.0,5800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
朝阳-朝阳门外-东大桥路,东北,整租,2室1厅1卫,5,50.5,7004,贝壳优选,"月租,精装,集中供暖,押一付一,随时看房",0,0
丰台-右安门外-玉林里小区,南,整租,2室1厅1卫,18,57.0,6500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
朝阳-亚运村小营-干杨树,东南,整租,2室1厅1卫,18,69.87,7300,链家,"官方核验,新上,精装,集中供暖,随时看房",0,1
丰台-和义-南苑北里一区,东西,整租,1室1厅1卫,6,53.26,3500,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房,首次出租",0,0
海淀-西二旗-领秀新硅谷1号院,南北,整租,2室2厅1卫,15,95.0,10000,链家,"官方核验,业主自荐,新上,近地铁,精装,随时看房",0,1
门头沟-冯村-四季怡园南区,西南,整租,3室1厅1卫,20,89.0,4000,贝壳优选,"新上,月租,集中供暖,押一付一,随时看房",0,1
朝阳-潘家园-华威西里,南,整租,1室1厅1卫,6,41.59,4300,贝壳优选,"新上,集中供暖,押一付一,随时看房,首次出租",0,0
房山-良乡-良乡西路8号,南北,整租,2室1厅1卫,6,60.5,3500,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
朝阳-常营-北京像素北区,西南,整租,3房间2卫,14,59.68,5500,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,双卫生间,随时看房,首次出租",0,0
海淀-颐和园-六一幼儿园家属楼,东东北,整租,1室1厅1卫,5,47.48,5600,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
通州-临河里-华业东方玫瑰A区,南北,整租,1室1厅1卫,28,57.08,3690,链家,"官方核验,业主自荐,精装,集中供暖,随时看房",0,1
海淀-马连洼-七彩华园,南北,整租,3室2厅2卫,7,132.04,12000,贝壳优选,"近地铁,集中供暖,押一付一,双卫生间,随时看房,首次出租",0,0
门头沟-大峪-中门寺南坡小区,南北,整租,3室1厅1卫,18,84.0,3500,链家,"官方核验,集中供暖,随时看房",0,1
大兴-枣园-滨河西里南区,南北,整租,2室1厅1卫,6,61.65,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
海淀-田村-永定路1号院,东西,整租,2室1厅1卫,5,49.6,5700,贝壳优选,"精装,集中供暖,押一付一,随时看房,首次出租",0,0
朝阳-朝阳门外-吉庆里西区,南,整租,3室1厅1卫,10,116.0,13500,链家,"官方核验,业主自荐,集中供暖,随时看房",0,0
海淀-海淀北部新区-海淀上郡,南,整租,2室1厅1卫,21,89.68,4500,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
昌平-沙河-北街家园七区,东,整租,4室1厅1卫,17,68.0,4450,贝壳优选,"精装,集中供暖,押一付一,随时看房",0,1
丰台-七里庄-小井润园一区,南,整租,2室1厅1卫,20,93.48,7600,链家,"官方核验,业主自荐,新上,精装",0,1
朝阳-东大桥-工体东路,东北,整租,2室1厅1卫,14,58.82,6500,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0,0
朝阳-欢乐谷-世纪东方城北区,南,整租,2室1厅1卫,21,93.25,7100,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房",0,1
海淀-定慧寺-玲珑苑,西北,整租,1室1厅1卫,20,58.0,8000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
昌平-回龙观-龙华园,南北,整租,2室1厅1卫,6,70.0,5800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
海淀-五道口-厢白旗甲1号院,南北,整租,2室1厅1卫,6,69.41,9700,贝壳优选,"集中供暖,押一付一,随时看房",0,0
